id,produs,categorie,pret_standard,pret_bio,unitate,riscuri_conventional,beneficii_bio,descriere
oua-gaina,Ouă (10 buc),Proteine,12,28,"carton 10 buc","Găini crescute în baterii, risc de salmonella, hrană modificată genetic.","Găini crescute la sol/libere, hrană naturală, profil nutrițional superior (Omega 3).","Diferența majoră este la condițiile de viață ale păsărilor și calitatea gălbenușului."
lapte-vaca,Lapte Proaspăt,Lactate,7,16,"1 litru","Posibile urme de antibiotice și hormoni de creștere. Procesare UHT intensă.","Vaci hrănite cu iarbă (Grass-fed), fără antibiotice preventive.","Laptele bio are adesea un conținut mai mare de acid linoleic conjugat (CLA)."
pui-intreg,Carne de Pui,Carne,22,65,"1 kg","Creștere forțată în 30 de zile, utilizare de antibiotice, densitate mare.","Creștere lentă (80+ zile), acces la aer liber, carne mai fermă și gustoasă.","Puiul industrial este 'umflat' cu apă și saramură; cel bio scade mult mai puțin la gătit."
mere-romanesti,Mere,Fructe,6,14,"1 kg","Tratate cu fungicide și ceară artificială pentru a rezista luni de zile.","Fără pesticide de sinteză, coajă comestibilă 100% sigură.","Merele convenționale sunt în topul 'Dirty Dozen' al fructelor cu cele mai multe pesticide."
paine-integrala,Pâine Integrală,Brutărie,8,18,"500g","Făină albită chimic, conservanți, afânători și potențiatori de aromă.","Făină integrală reală, maia naturală, fără E-uri.","Pâinea bio cu maia are un indice glicemic mai mic și este mai ușor de digerat."
rosii-cherry,Roșii Cherry,Legume,15,35,"500g","Crescute pe vată minerală (hidroponic), gust fad, coapte forțat cu etilenă.","Crescute în sol, coapte la soare, gust intens și conținut ridicat de licopen.","Roșiile bio au, în medie, cu 30% mai mulți antioxidanți."
ulei-masline,Ulei de Măsline,Băcănie,45,90,"750ml","Adesea amestecat cu uleiuri inferioare, procesat termic, aciditate mare.","Presat la rece mecanic, măsline netratate, trasabilitate controlată.","Uleiul bio este esențial pentru dieta anti-inflamatorie."
cartofi-albi,Cartofi,Legume,4,10,"1 kg","Tratați cu substanțe anti-germinare (clorprofam) pentru a nu încolți iarna.","Fără tratamente post-recoltare, păstrați în condiții naturale.","Coaja cartofilor convenționali absoarbe multe pesticide din sol."
miere-poliflora,Miere Polifloră,Dulciuri,30,65,"borcan 400g","Posibil adaos de sirop de glucoză, antibiotice pentru albine, procesare termică.","Miere crudă nepasteurizată, stupi plasați în zone nepoluate.","Mierea bio păstrează enzimele active care ajută imunitatea."
carne-vita,Carne de Vită,Carne,50,120,"1 kg","Hrană bazată pe soia/cereale, risc de antibiotice, impact mare de mediu.","Vaci crescute pe pășune, carne mai slabă și bogată în nutrienți.","Vito bio are un raport Omega-3/Omega-6 mult mai sănătos."
cafea-boabe,Cafea Boabe,Băuturi,60,110,"500g","Culturi tratate intensiv cu pesticide, impact negativ asupra solului.","Cultivată la umbră (shade-grown), fără chimicale, Fair Trade.","Cafeaua bio are adesea o aciditate mai plăcută și arome mai complexe."
iaurt-grecesc,Iaurt Grecesc,Lactate,18,32,"500g","Lapte standardizat, posibil adaos de lapte praf sau amidon pentru textură.","Lapte bio integral, fermentare naturală, fără agenți de îngroșare.","Iaurtul bio este o sursă mai curată de probiotice."